"","valeur_reelle","Random_Forest","Rpart","Gradient","Regression","Regression_backward","Regression_penalisee","SVM","SVM_lineaire","Extra_Gradient"
"1",2.6,3.25181,3.31250000000001,3.12159488420888,3.07187762584368,3.07707944299702,3.08283802277309,3.05262569638542,3.12528029748478,3.16285562515259
"2",1.8,2.87918,2.75630136986302,2.88734449305036,2.83916615700052,2.8408232401846,2.86527887178777,2.9986822510437,2.93848132556217,2.8547465801239
"3",3.7,3.40851,3.81758241758242,3.92307333901737,3.87688376670296,3.86290578766937,3.8515302575627,3.97416056415275,3.97010719506039,2.70421624183655
"4",3.5,3.49715333333333,3.65368731563422,3.4212301300302,3.21645197397944,3.22949683275801,3.22117441937106,3.31301989487909,3.25762147597143,3.4660370349884
"5",3.3,3.08510333333334,3.26235408560311,3.47622224532354,3.47087656627061,3.57198235169596,3.46308665011004,3.32624614684827,3.37296389435036,3.35039949417114
"6",3.1,2.90443333333333,2.99304743339831,2.98954702358095,2.86608819973472,2.84201304105706,2.89252835343663,3.08636714956209,2.93155395544176,2.79609847068787
"7",2.9,3.44041666666667,3.26235408560311,3.23877574804789,3.41138949385553,3.42927697856277,3.45151597054537,3.28687286820844,3.47258935148295,3.64225077629089
"8",2.3,2.35744666666667,2.75630136986302,2.55420787146577,2.75370356926654,2.75840084726389,2.78397827091123,2.66901083818538,2.8243494693798,2.38353300094604
"9",3.6,2.78207,2.99304743339831,2.95961428023189,3.00287784771018,3.01623094827009,3.05087845777709,3.24532701798573,2.97768136255522,3.02582931518555
"10",3.3,3.48338333333333,3.31250000000001,3.49872162396774,3.31668822915539,3.30893236318111,3.32803731998235,3.34166610879764,3.33772801495758,3.47695517539978
"11",1.7,2.64476333333334,2.99304743339831,2.86716453463971,2.5251663900691,2.53698743105118,2.53875498914452,2.66426549090154,2.50927507930802,2.6536328792572
"12",2.9,3.11644333333333,3.26235408560311,3.14917728189541,3.46052230580286,3.45340677806725,3.43665672091268,3.1252273545514,3.41127354233522,3.34214687347412
"13",2,3.90809,3.81758241758242,3.93652185222368,3.70750040246939,3.70986541057514,3.72358011412566,3.4890120019928,3.63883471562369,3.9124960899353
"14",3.6,3.24862,3.31250000000001,3.37111295982687,3.36396124023133,3.37106293388016,3.34981307158757,3.57163461081737,3.46584248263554,3.53624939918518
