"","valeur_reelle","Random_Forest","Rpart","Gradient","Regression","Regression_backward","Regression_penalisee","SVM","SVM_lineaire","Extra_Gradient"
"1",3.5,3.37186666666666,3.15805396565821,3.12478906628446,3.20379275192682,3.20840334149042,3.14983880715227,3.17299542283233,3.21147582427702,3.12041687965393
"2",3.8,3.65868999999999,3.41875,3.50126467165933,3.48897935601741,3.48629912782975,3.45539518417739,3.43210543179113,3.46312441443003,3.59132480621338
"3",3.8,3.56207666666666,3.35981308411215,3.03036661183856,2.79883517924119,2.79083648656508,2.86760589786024,2.89832016705445,2.83868171053541,3.2674081325531
"4",2.9,2.46436666666667,2.40684931506849,2.63569602803154,2.48714114690023,2.49098735194646,2.53048305882048,2.37124127429794,2.48121421428319,2.70899152755737
"5",2.9,2.81141666666667,2.5,2.68837387466832,2.782189419185,2.7863212905541,2.83168025761444,2.84117070603628,2.77432144051237,2.75194048881531
"6",3.4,3.30471333333334,2.80952380952381,3.06111304455884,3.06410325185874,3.06914799456752,3.07427472290339,3.06283766372755,3.08931842755903,3.1409478187561
"7",3.5,3.45502333333333,3.47265306122449,3.50642918469698,3.44110784438176,3.45258790526052,3.47045657412062,3.44139826359489,3.4343365540705,3.38944268226624
"8",3.5,3.43334333333333,3.56363636363636,3.40505785327941,3.29659198830746,3.30926413077775,3.28326301397025,3.40878447032226,3.31383963325322,3.15486741065979
"9",3.7,3.30110000000001,3.029,2.72216148950867,2.55528523260214,2.55930043502697,2.61840970332113,3.27633588990329,2.53914989314752,3.29543566703796
"10",3.6,3.17935333333333,3.09705882352941,3.15421556765201,2.89643292143028,2.88162578237445,2.88208457697784,2.8941468032644,2.84952171076216,3.14398813247681
"11",4,3.51395,3.029,2.74312164040536,2.73563044021286,2.7230525248755,2.74646384888947,2.61747828952239,2.67721145981784,2.98175716400146
"12",2.9,2.76967666666667,2.47122641509434,2.61757961153043,2.61941640311319,2.62918396266941,2.64756561436612,2.66469469920229,2.61799773251732,2.70584058761597
"13",2.4,2.59476,2.52204301075269,3.04140758411947,3.06989673107838,3.08159672938903,3.05745832974749,3.08690660096369,3.08015504581748,2.89242935180664
"14",3.2,3.15501333333334,2.5952380952381,3.3070851340801,3.38470234461226,3.38365948931337,3.3287430890151,3.25893067413121,3.33253783898409,3.26007318496704
"15",2.5,2.80128666666667,2.47122641509434,3.0618004687104,3.0794814577237,3.08039310264268,3.05243961733999,2.95604056421827,3.09005271490051,2.74239253997803
"16",3.6,2.85495333333333,2.52842105263158,2.73507914214226,2.68374861096865,2.68930926299604,2.67675937725028,2.85321817901645,2.62269885100507,2.72327256202698
"17",2.9,2.94063000000001,2.90078740157481,3.05150968272523,3.01692320641709,2.99540088525272,2.93911573469522,2.97678847185432,2.99169439955383,2.99941325187683
"18",2.9,2.87442,2.90078740157481,3.03826254913116,3.27876757914714,3.30146647867892,3.21985017820434,3.26711985851437,3.39025338083636,2.92655038833618
"19",3.3,3.23083333333332,2.90078740157481,3.01085128026984,3.09370757879442,3.09120865246266,3.08270860063167,3.09563873670253,3.08836089444489,3.18751502037048
"20",3.6,3.41236999999999,2.90078740157481,3.04752128694438,3.05809892438407,3.05456867113134,3.06191773405064,3.0447145611963,3.08401794358328,3.26394033432007
"21",4,3.82590333333333,3.47265306122449,3.68979317065379,3.67911267004799,3.67025926233043,3.61082642351862,3.94118743612226,3.68671461196245,3.89291620254517
"22",3.9,3.70619333333334,3.47265306122449,3.53402753224157,3.38388755919531,3.37482800782141,3.37306346695345,3.84122496944145,3.39374563934346,3.63266468048096
"23",3.3,3.35985666666666,3.47265306122449,3.42090132644707,3.21561068525167,3.26517358013723,3.27421926372651,3.24107897265484,3.24961881930136,3.22154593467712
"24",3.4,3.26209666666667,2.90078740157481,2.88195045484462,3.21735128237857,3.21714486549606,3.17317690302796,3.19734272785481,3.22190287155987,3.03919434547424
"25",3.4,3.11306666666667,2.63791469194313,2.90616851987111,2.87776433714019,2.87885543982759,2.81180894313443,2.94648903110372,2.90171242225619,3.13693022727966
"26",4,3.75959,3.33564231738035,3.38370113420355,3.6077579521761,3.60731115269362,3.56112826080157,3.5191920380426,3.53811612933166,3.61599659919739
"27",3.5,2.88062333333333,2.89651162790698,2.81148355107306,2.90457758695464,2.90425645674997,2.89724051425648,2.77496133131794,2.92909195937037,2.86266374588013
"28",3.7,3.29495,3.2664047151277,3.62954830850402,3.86924926354292,3.87161047100222,3.8220336225059,3.64408322516489,3.85422280300864,3.25295734405518
"29",3.4,3.33948333333334,3.33564231738035,3.28848566850629,3.23745328884,3.23786988436758,3.21597089114672,3.06269703178373,3.18376093204617,3.30512523651123
"30",4,3.59175666666666,3.15805396565821,3.16938649248434,2.95850079387683,2.95822809521586,2.95624847661873,3.01929160555909,2.97533492848842,3.14463829994202
"31",3.6,3.17106666666667,3.15805396565821,3.17557989843713,2.91023324277202,2.90910085716615,2.89287372822992,3.06271412483124,2.96844366354026,3.2253782749176
"32",3.2,3.21448666666667,3.15805396565821,3.28947850273827,3.03707852525951,3.04881738145388,3.02146315895311,3.14142531723031,3.04743872577865,3.21527338027954
"33",3.5,3.42489,3.41875,3.2643490410028,3.19942342388135,3.21830341328746,3.26393721977563,3.10558089291869,3.19735593167412,3.36793518066406
"34",3,3.19604666666667,3.41875,3.45650620196776,3.72532170708586,3.72931419347983,3.68081746541448,3.62292574012877,3.68920499296459,3.43937277793884
"35",4.6,4.27308999999998,3.44753086419753,3.92816455602589,3.53366696510865,3.53303713777065,3.51372134954018,3.75255841689589,3.60637863592496,3.975013256073
"36",3.5,3.19712,3.09705882352941,2.92325000552356,2.88414482922888,2.89082543008117,2.8534365534437,2.89781042873486,2.87367769132552,2.89087772369385
