"","model","RMSE","Rsquared","MAE"
"1","Random Forest",0.273941151349773,0.813776189489088,0.196604668829522
"2","Arbre CART",0.487160907842484,0.287323623823566,0.382880889994335
"3","Gradient boosting",0.43994774391059,0.422313392678116,0.347234109993348
"4","Régression linéaire",0.484564776226016,0.294384086395285,0.382424797055193
"5","Régression lin. backw.",0.484625448323014,0.294199925956225,0.382346129065929
"6","Régression lin. forw.",0.48469242059049,0.294006137969565,0.382316421815546
"7","Régression ridge-lasso",0.484914461734619,0.293733725511007,0.382452540995354
"8","SVM",0.441846703953149,0.414377371361315,0.330421172762415
"9","SVM lineaire",0.486665222664663,0.288472056487017,0.381691406591156
"10","Extra G. boosting",0.386166057665487,0.559788397777367,0.29848773590479
